"name","location","gps_coordinates","max_radioactivity","source_url","reading_source"
"Hessen ( Frankfurt am Main)","Hessen ( Frankfurt am Main)","50.106654,8.662581","1.3 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2964.0.html",""
"Hessen, Kasseler Rathaus","Hessen, Kasseler Rathaus","51.178155,9.367427","0.8 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2660.0.html","text"
"Hessen, vorderer Odenwald, Steinbruch Mackenheim","Hessen, vorderer Odenwald, Steinbruch Mackenheim","49.569066,8.781677","-","https://www.geigerzaehlerforum.de/index.php/topic,2100.0.html",""
"Hessen?","Hessen?","50.608065,9.028465","-","https://www.geigerzaehlerforum.de/index.php/topic,749.0.html",""
"Hinweise auf Th- und Seltenerdmetalle rund um Nagy-Kopasz, Budapest","Hinweise auf Th- und Seltenerdmetalle rund um Nagy-Kopasz, Budapest","47.48139,19.145772","10 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,3130.0.html","text"
"Holland Roermond","Holland Roermond","51.193647,5.987185","0.95 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,217.0.html","text"
"Hörschbachschlucht - Murrhardt","Hörschbachschlucht - Murrhardt","48.971026,9.553396","1.5 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,2567.0.html","text"
"Hotspot Halde 371 Hartenstein","Hotspot Halde 371 Hartenstein","50.63087,12.69338","5.14 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,8.0.html",""
"Hotspots am Schacht 277 in Zobes","Hotspots am Schacht 277 in Zobes","50.509792,12.254583","80 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,93.0.html","text"
"Hotspots im Ronneburger Forst","Hotspots im Ronneburger Forst","50.837184,12.1847353","2.22 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,94.0.html",""
"Hubertusquelle Thale","Hubertusquelle Thale","48.769174,10.068061","-","https://www.geigerzaehlerforum.de/index.php/topic,1171.0.html",""
"IAA 'Hakenkrümme' bei Aue","IAA 'Hakenkrümme' bei Aue","-36.764376,174.76636","2 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,89.0.html",""
"Impressum","Impressum","50.468906,7.235239","-","https://www.geigerzaehlerforum.de/index.php/topic,62.0.html",""
"Interessante Orte in Dänemark ?","Interessante Orte in Dänemark ?","55.752047,8.224464","1.333 uSv/h","https://www.geigerzaehlerforum.de/index.php/topic,1419.0.html","text"
