"name","source_url","image_url"
"Büros der Uni Wien verstrahlt/k.k. Montan-Verkaufsamt","https://www.geigerzaehlerforum.de/index.php/topic,1200.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_363_1758140186.png"
"Carl Auer von Welsbach und sein Beitrag zur frühen Radioaktivitätsforschung","https://www.geigerzaehlerforum.de/index.php/topic,2736.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_255_1743189177.png"
"Carl Auer von Welsbach und sein Beitrag zur frühen Radioaktivitätsforschung","https://www.geigerzaehlerforum.de/index.php/topic,2736.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_363_1758140186.png"
"Church Rock (New Mexico), USA","https://www.geigerzaehlerforum.de/index.php/topic,1067.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_59_1569010180.png"
"Cold War Museum Berlin","https://www.geigerzaehlerforum.de/index.php/topic,1717.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_189_1633976595.png"
"Cold War Museum Berlin","https://www.geigerzaehlerforum.de/index.php/topic,1717.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_1501_1764754893.png"
"Coschütz-Gittersee","https://www.geigerzaehlerforum.de/index.php/topic,1950.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_300_1702229207.png"
"Coschütz-Gittersee","https://www.geigerzaehlerforum.de/index.php/topic,1950.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_127_1620936207.png"
"Coschütz-Gittersee","https://www.geigerzaehlerforum.de/index.php/topic,1950.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_1_1664708136.jpg"
"Dalgety Bay (Schottland)","https://www.geigerzaehlerforum.de/index.php/topic,1350.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_59_1569010180.png"
"Dalgety Bay (Schottland)","https://www.geigerzaehlerforum.de/index.php/topic,1350.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_127_1620936207.png"
"Das toxische Erbe der Chemie: Düngemittelfabrik in Crotone Kalabrien (Italien)","https://www.geigerzaehlerforum.de/index.php/topic,2717.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_950_1750325207.png"
"Das Wetterprojekt in Schneeberg/Erzgebirge","https://www.geigerzaehlerforum.de/index.php/topic,2786.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_1_1664708136.jpg"
"Das Wetterprojekt in Schneeberg/Erzgebirge","https://www.geigerzaehlerforum.de/index.php/topic,2786.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_3_1550401349.png"
"Das Wetterprojekt in Schneeberg/Erzgebirge","https://www.geigerzaehlerforum.de/index.php/topic,2786.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_300_1702229207.png"
"Der Goiânia-Unfall (Parque Estadual Telma Ortegal in Brasilien)","https://www.geigerzaehlerforum.de/index.php/topic,1035.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_59_1569010180.png"
"Der Goiânia-Unfall (Parque Estadual Telma Ortegal in Brasilien)","https://www.geigerzaehlerforum.de/index.php/topic,1035.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_1_1664708136.jpg"
"Der Goiânia-Unfall (Parque Estadual Telma Ortegal in Brasilien)","https://www.geigerzaehlerforum.de/index.php/topic,1035.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_556_1771265642.png"
"Der Ottofelsen und das Thumkuhlental","https://www.geigerzaehlerforum.de/index.php/topic,1744.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_556_1771265642.png"
"Die Porzellanfabrik von Christian Fischer in Zwickau","https://www.geigerzaehlerforum.de/index.php/topic,38.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_1_1664708136.jpg"
"Die Porzellanfabrik von Christian Fischer in Zwickau","https://www.geigerzaehlerforum.de/index.php/topic,38.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_3_1550401349.png"
"Die Porzellanfabrik von Christian Fischer in Zwickau","https://www.geigerzaehlerforum.de/index.php/topic,38.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_189_1633976595.png"
"Doku: Die Schlacht von Tschernobyl","https://www.geigerzaehlerforum.de/index.php/topic,670.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_1_1664708136.jpg"
"Doku: Die Schlacht von Tschernobyl","https://www.geigerzaehlerforum.de/index.php/topic,670.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_127_1620936207.png"
"Doku: Die Schlacht von Tschernobyl","https://www.geigerzaehlerforum.de/index.php/topic,670.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_94_1587143590.png"
"Donnersbergkreis","https://www.geigerzaehlerforum.de/index.php/topic,1668.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_72_1629649757.png"
"Elbmarsch Krümmel und die GKSS","https://www.geigerzaehlerforum.de/index.php/topic,1339.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_130_1602262418.png"
"Elbmarsch Krümmel und die GKSS","https://www.geigerzaehlerforum.de/index.php/topic,1339.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_127_1620936207.png"
"Elbmarsch Krümmel und die GKSS","https://www.geigerzaehlerforum.de/index.php/topic,1339.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_78_1577045588.png"
"Elbmarsch Krümmel und die GKSS","https://www.geigerzaehlerforum.de/index.php/topic,1339.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_1_1664708136.jpg"
"Elbmarsch Krümmel und die GKSS","https://www.geigerzaehlerforum.de/index.php/topic,1339.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_300_1702229207.png"
"Elbmarsch Krümmel und die GKSS","https://www.geigerzaehlerforum.de/index.php/topic,1339.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_65_1571344756.png"
"Fettquelle in BAD","https://www.geigerzaehlerforum.de/index.php/topic,1964.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_556_1771265642.png"
"Fettquelle in BAD","https://www.geigerzaehlerforum.de/index.php/topic,1964.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_127_1620936207.png"
"Fettquelle in BAD","https://www.geigerzaehlerforum.de/index.php/topic,1964.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_247_1678536790.png"
"Flugwerft Oberschleißheim","https://www.geigerzaehlerforum.de/index.php/topic,3123.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_166_1701967001.jpg"
"Flugwerft Oberschleißheim","https://www.geigerzaehlerforum.de/index.php/topic,3123.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_1_1664708136.jpg"
"Flugwerft Oberschleißheim","https://www.geigerzaehlerforum.de/index.php/topic,3123.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_933_1720723707.jpg"
"Flugwerft Oberschleißheim","https://www.geigerzaehlerforum.de/index.php/topic,3123.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_556_1771265642.png"
"Fort d'Aubervilliers (Paris)","https://www.geigerzaehlerforum.de/index.php/topic,1359.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_59_1569010180.png"
"Frankreich: Fort de Vaujours / Polygone d'expérimentation de Moronvilliers","https://www.geigerzaehlerforum.de/index.php/topic,2581.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_72_1629649757.png"
"Franz. Kernwaffentestgelände in Algerien","https://www.geigerzaehlerforum.de/index.php/topic,1253.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_72_1629649757.png"
"Franz. Kernwaffentestgelände in Algerien","https://www.geigerzaehlerforum.de/index.php/topic,1253.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_127_1620936207.png"
"Fußgängerzone in Wernigerode und Rundwanderweg zum Brocken","https://www.geigerzaehlerforum.de/index.php/topic,812.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_3_1550401349.png"
"Fußgängerzone in Wernigerode und Rundwanderweg zum Brocken","https://www.geigerzaehlerforum.de/index.php/topic,812.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_127_1620936207.png"
"Geologische Karte von Tschechien","https://www.geigerzaehlerforum.de/index.php/topic,1781.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_556_1771265642.png"
"Geschichts-Drama 'Chernobyl' (GB/USA) auf SKY","https://www.geigerzaehlerforum.de/index.php/topic,119.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_1_1664708136.jpg"
"Geschichts-Drama 'Chernobyl' (GB/USA) auf SKY","https://www.geigerzaehlerforum.de/index.php/topic,119.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_3_1550401349.png"
"Geschichts-Drama 'Chernobyl' (GB/USA) auf SKY","https://www.geigerzaehlerforum.de/index.php/topic,119.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_58_1568791944.png"
"Geschichts-Drama 'Chernobyl' (GB/USA) auf SKY","https://www.geigerzaehlerforum.de/index.php/topic,119.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_130_1602262418.png"
"Geschichts-Drama 'Chernobyl' (GB/USA) auf SKY","https://www.geigerzaehlerforum.de/index.php/topic,119.0.html","https://www.geigerzaehlerforum.de/custom_avatar/avatar_59_1569010180.png"
"Geschichts-Drama 'Chernobyl' (GB/USA) auf SKY","https://www.geigerzaehlerforum.de/index.php/topic,119.0.html","http://[attach%20id=24652]36.jpg"
